         Q/fits             a1             b1          limit
    0.00000e+00    4.00005e+00    1.25252e-01    6.89568e-13
    1.00000e-02    4.00005e+00    1.25187e-01    9.79482e-04
    1.39997e-01    4.00005e+00    1.12368e-01    9.50900e-04
    2.52925e-01    4.00005e+00    8.23056e-02    8.87116e-04
    3.51024e-01    4.00005e+00    4.00607e-02    8.04689e-04
    4.36241e-01    4.00005e+00   -1.10553e-02    7.15180e-04
    5.10268e-01    4.00005e+00   -6.87591e-02    6.26102e-04
    5.74575e-01    4.00005e+00   -1.31413e-01    5.41964e-04
    6.30438e-01    4.00005e+00   -1.97807e-01    4.65173e-04
    6.78965e-01    4.00005e+00   -2.67023e-01    3.96736e-04
    7.21121e-01    4.00005e+00   -3.38355e-01    3.36780e-04
    7.57740e-01    4.00005e+00   -4.11249e-01    2.84910e-04
    7.89552e-01    4.00005e+00   -4.85268e-01    2.40452e-04
    8.17186e-01    4.00005e+00   -5.60064e-01    2.02609e-04
    8.41191e-01    4.00005e+00   -6.35359e-01    1.70564e-04
    8.62044e-01    4.00005e+00   -7.10929e-01    1.43528e-04
    8.80159e-01    4.00005e+00   -7.86592e-01    1.20781e-04
    8.95896e-01    4.00005e+00   -8.62206e-01    1.01676e-04
    9.09566e-01    4.00005e+00   -9.37656e-01    8.56497e-05
    9.21441e-01    4.00005e+00   -1.01285e+00    7.22131e-05
    9.31756e-01    4.00005e+00   -1.08771e+00    6.09498e-05
    9.40717e-01    4.00005e+00   -1.16220e+00    5.15065e-05
    9.48502e-01    4.00005e+00   -1.23625e+00    4.35854e-05
    9.55264e-01    4.00005e+00   -1.30985e+00    3.69363e-05
    9.61138e-01    4.00005e+00   -1.38298e+00    3.13502e-05
    9.66241e-01    4.00005e+00   -1.45562e+00    2.66523e-05
    9.70674e-01    4.00005e+00   -1.52776e+00    2.26968e-05
    9.74525e-01    4.00005e+00   -1.59940e+00    1.93625e-05
    9.77870e-01    4.00005e+00   -1.67055e+00    1.65481e-05
    9.80776e-01    4.00005e+00   -1.74122e+00    1.41695e-05
    9.83300e-01    4.00005e+00   -1.81140e+00    1.21564e-05
    9.85493e-01    4.00005e+00   -1.88111e+00    1.04504e-05
    9.87398e-01    4.00005e+00   -1.95038e+00    9.00271e-06
    9.89053e-01    4.00005e+00   -2.01920e+00    7.77247e-06
    9.90490e-01    4.00005e+00   -2.08760e+00    6.72564e-06
    9.91739e-01    4.00005e+00   -2.15559e+00    5.83369e-06
    9.92824e-01    4.00005e+00   -2.22319e+00    5.07271e-06
    9.93766e-01    4.00005e+00   -2.29042e+00    4.42266e-06
    9.94585e-01    4.00005e+00   -2.35729e+00    3.86666e-06
    9.95296e-01    4.00005e+00   -2.42382e+00    3.39053e-06
    9.95913e-01    4.00005e+00   -2.49003e+00    2.98232e-06
    9.96450e-01    4.00005e+00   -2.55593e+00    2.63195e-06
    9.96916e-01    4.00005e+00   -2.62154e+00    2.33089e-06
    9.97321e-01    4.00005e+00   -2.68687e+00    2.07192e-06
    9.97673e-01    4.00005e+00   -2.75194e+00    1.84894e-06
    9.97978e-01    4.00005e+00   -2.81677e+00    1.65675e-06
    9.98244e-01    4.00005e+00   -2.88136e+00    1.49097e-06
    9.98475e-01    4.00005e+00   -2.94573e+00    1.34783e-06
    9.98675e-01    4.00005e+00   -3.00989e+00    1.22416e-06
    9.98849e-01    4.00005e+00   -3.07386e+00    1.11722e-06
    9.99000e-01    4.00005e+00   -3.13765e+00    1.02470e-06
