         Q/fits             a1             b1          limit
    0.00000e+00    2.00005e+00   -2.99285e-01    5.65145e-08
    1.00000e-02    2.00005e+00   -2.99328e-01    9.84981e-02
    1.39997e-01    2.00005e+00   -3.07875e-01    9.65729e-02
    2.52925e-01    2.00005e+00   -3.27975e-01    9.21954e-02
    3.51024e-01    2.00005e+00   -3.56351e-01    8.63578e-02
    4.36241e-01    2.00005e+00   -3.90897e-01    7.97573e-02
    5.10268e-01    2.00005e+00   -4.30175e-01    7.28747e-02
    5.74575e-01    2.00005e+00   -4.73168e-01    6.60332e-02
    6.30438e-01    2.00005e+00   -5.19126e-01    5.94417e-02
    6.78965e-01    2.00005e+00   -5.67485e-01    5.32285e-02
    7.21121e-01    2.00005e+00   -6.17808e-01    4.74646e-02
    7.57740e-01    2.00005e+00   -6.69756e-01    4.21814e-02
    7.89552e-01    2.00005e+00   -7.23055e-01    3.73836e-02
    8.17186e-01    2.00005e+00   -7.77487e-01    3.30585e-02
    8.41191e-01    2.00005e+00   -8.32872e-01    2.91822e-02
    8.62044e-01    2.00005e+00   -8.89063e-01    2.57246e-02
    8.80159e-01    2.00005e+00   -9.45938e-01    2.26523e-02
    8.95896e-01    2.00005e+00   -1.00340e+00    1.99310e-02
    9.09566e-01    2.00005e+00   -1.06135e+00    1.75268e-02
    9.21441e-01    2.00005e+00   -1.11973e+00    1.54074e-02
    9.31756e-01    2.00005e+00   -1.17848e+00    1.35424e-02
    9.40717e-01    2.00005e+00   -1.23754e+00    1.19037e-02
    9.48502e-01    2.00005e+00   -1.29686e+00    1.04658e-02
    9.55264e-01    2.00005e+00   -1.35642e+00    9.20519e-03
    9.61138e-01    2.00005e+00   -1.41618e+00    8.10109e-03
    9.66241e-01    2.00005e+00   -1.47611e+00    7.13474e-03
    9.70674e-01    2.00005e+00   -1.53619e+00    6.28945e-03
    9.74525e-01    2.00005e+00   -1.59640e+00    5.55041e-03
    9.77870e-01    2.00005e+00   -1.65672e+00    4.90452e-03
    9.80776e-01    2.00005e+00   -1.71713e+00    4.34023e-03
    9.83300e-01    2.00005e+00   -1.77762e+00    3.84736e-03
    9.85493e-01    2.00005e+00   -1.83819e+00    3.41694e-03
    9.87398e-01    2.00005e+00   -1.89881e+00    3.04111e-03
    9.89053e-01    2.00005e+00   -1.95949e+00    2.71299e-03
    9.90490e-01    2.00005e+00   -2.02021e+00    2.42652e-03
    9.91739e-01    2.00005e+00   -2.08097e+00    2.17642e-03
    9.92824e-01    2.00005e+00   -2.14176e+00    1.95806e-03
    9.93766e-01    2.00005e+00   -2.20258e+00    1.76739e-03
    9.94585e-01    2.00005e+00   -2.26342e+00    1.60089e-03
    9.95296e-01    2.00005e+00   -2.32428e+00    1.45545e-03
    9.95913e-01    2.00005e+00   -2.38517e+00    1.32841e-03
    9.96450e-01    2.00005e+00   -2.44606e+00    1.21744e-03
    9.96916e-01    2.00005e+00   -2.50697e+00    1.12049e-03
    9.97321e-01    2.00005e+00   -2.56788e+00    1.03582e-03
    9.97673e-01    2.00005e+00   -2.62880e+00    9.61898e-04
    9.97978e-01    2.00005e+00   -2.68973e+00    8.97373e-04
    9.98244e-01    2.00005e+00   -2.75067e+00    8.41063e-04
    9.98475e-01    2.00005e+00   -2.81160e+00    7.91916e-04
    9.98675e-01    2.00005e+00   -2.87254e+00    7.49003e-04
    9.98849e-01    2.00005e+00   -2.93348e+00    7.11522e-04
    9.99000e-01    2.00005e+00   -2.99442e+00    6.78789e-04
