         Q/fits             a1             b1          limit
    0.00000e+00    6.00028e+00   -1.04976e+00    2.92488e-22
    1.00000e-02    6.00028e+00   -1.04986e+00    3.52901e-07
    1.39997e-01    6.00028e+00   -1.06885e+00    3.37782e-07
    2.52925e-01    6.00028e+00   -1.11339e+00    3.04823e-07
    3.51024e-01    6.00028e+00   -1.17598e+00    2.63882e-07
    4.36241e-01    6.00028e+00   -1.25171e+00    2.21641e-07
    5.10268e-01    6.00028e+00   -1.33721e+00    1.82039e-07
    5.74575e-01    6.00028e+00   -1.43006e+00    1.47024e-07
    6.30438e-01    6.00028e+00   -1.52846e+00    1.17254e-07
    6.78965e-01    6.00028e+00   -1.63107e+00    9.26265e-08
    7.21121e-01    6.00028e+00   -1.73683e+00    7.26551e-08
    7.57740e-01    6.00028e+00   -1.84495e+00    5.66941e-08
    7.89552e-01    6.00028e+00   -1.95477e+00    4.40756e-08
    8.17186e-01    6.00028e+00   -2.06579e+00    3.41791e-08
    8.41191e-01    6.00028e+00   -2.17761e+00    2.64631e-08
    8.62044e-01    6.00028e+00   -2.28990e+00    2.04723e-08
    8.80159e-01    6.00028e+00   -2.40240e+00    1.58347e-08
    8.95896e-01    6.00028e+00   -2.51490e+00    1.22515e-08
    9.09566e-01    6.00028e+00   -2.62724e+00    9.48579e-09
    9.21441e-01    6.00028e+00   -2.73929e+00    7.35208e-09
    9.31756e-01    6.00028e+00   -2.85095e+00    5.70575e-09
    9.40717e-01    6.00028e+00   -2.96214e+00    4.43481e-09
    9.48502e-01    6.00028e+00   -3.07281e+00    3.45281e-09
    9.55264e-01    6.00028e+00   -3.18291e+00    2.69321e-09
    9.61138e-01    6.00028e+00   -3.29242e+00    2.10485e-09
    9.66241e-01    6.00028e+00   -3.40131e+00    1.64842e-09
    9.70674e-01    6.00028e+00   -3.50959e+00    1.29375e-09
    9.74525e-01    6.00028e+00   -3.61726e+00    1.01767e-09
    9.77870e-01    6.00028e+00   -3.72430e+00    8.02371e-10
    9.80776e-01    6.00028e+00   -3.83075e+00    6.34142e-10
    9.83300e-01    6.00028e+00   -3.93661e+00    5.02435e-10
    9.85493e-01    6.00028e+00   -4.04189e+00    3.99113e-10
    9.87398e-01    6.00028e+00   -4.14662e+00    3.17892e-10
    9.89053e-01    6.00028e+00   -4.25082e+00    2.53911e-10
    9.90490e-01    6.00028e+00   -4.35450e+00    2.03403e-10
    9.91739e-01    6.00028e+00   -4.45770e+00    1.63446e-10
    9.92824e-01    6.00028e+00   -4.56042e+00    1.31765e-10
    9.93766e-01    6.00028e+00   -4.66271e+00    1.06589e-10
    9.94585e-01    6.00028e+00   -4.76457e+00    8.65382e-11
    9.95296e-01    6.00028e+00   -4.86603e+00    7.05307e-11
    9.95913e-01    6.00028e+00   -4.96711e+00    5.77205e-11
    9.96450e-01    6.00028e+00   -5.06784e+00    4.74435e-11
    9.96916e-01    6.00028e+00   -5.16822e+00    3.91778e-11
    9.97321e-01    6.00028e+00   -5.26829e+00    3.25120e-11
    9.97673e-01    6.00028e+00   -5.36806e+00    2.71219e-11
    9.97978e-01    6.00028e+00   -5.46755e+00    2.27509e-11
    9.98244e-01    6.00028e+00   -5.56677e+00    1.91961e-11
    9.98475e-01    6.00028e+00   -5.66575e+00    1.62963e-11
    9.98675e-01    6.00028e+00   -5.76449e+00    1.39235e-11
    9.98849e-01    6.00028e+00   -5.86302e+00    1.19758e-11
    9.99000e-01    6.00028e+00   -5.96134e+00    1.03719e-11
